metric,stat,value,signal_type
tp_delta_improve,median,1.017544,expert_estimate
tp_delta_improve,p25,1,expert_estimate
tp_delta_improve,p75,1.039384,expert_estimate
tp_delta_improve,iqr,0.039384,expert_estimate
tp_delta_improve,min,0.76,expert_estimate
tp_delta_improve,max,1.472727,expert_estimate
ct1_speed_delta_improve_p75,median,1,expert_estimate
ct1_speed_delta_improve_p75,p25,1,expert_estimate
ct1_speed_delta_improve_p75,p75,1.1875,expert_estimate
ct1_speed_delta_improve_p75,iqr,0.1875,expert_estimate
ct1_speed_delta_improve_p75,min,0.772727,expert_estimate
ct1_speed_delta_improve_p75,max,1.714286,expert_estimate
ct2_speed_delta_improve_p75,median,1.018519,expert_estimate
ct2_speed_delta_improve_p75,p25,0.75,expert_estimate
ct2_speed_delta_improve_p75,p75,1.366402,expert_estimate
ct2_speed_delta_improve_p75,iqr,0.616402,expert_estimate
ct2_speed_delta_improve_p75,min,0.666667,expert_estimate
ct2_speed_delta_improve_p75,max,1.619048,expert_estimate
